start_time,request_id,project_name,model,input_tokens,cached_tokens,output_tokens,finish_reason,status,session_id,prompt_prefix_hash,prompt_full_hash
2026-08-08 01:00:39+00:00,req-00005370,nightly_enrichment,gpt-5,1137,0,133,stop,ok,,bd92b107232016ba,1b2a5ac1540d29de
2026-08-08 01:02:06+00:00,req-00004701,nightly_enrichment,gpt-5,1149,0,155,stop,ok,,bd92b107232016ba,2d34c5b9f5a65112
2026-08-08 01:02:11+00:00,req-00004574,nightly_enrichment,gpt-5,1686,0,268,stop,ok,,bd92b107232016ba,3f6949a9441f6f1a
2026-08-08 01:02:13+00:00,req-00004733,nightly_enrichment,gpt-5,1493,0,195,stop,ok,,bd92b107232016ba,fd04d95dbacfdcf5
2026-08-08 01:02:39+00:00,req-00004846,nightly_enrichment,gpt-5,1710,0,129,stop,ok,,bd92b107232016ba,a276d24f18db18de
2026-08-08 01:03:50+00:00,req-00005374,nightly_enrichment,gpt-5,1198,0,147,stop,ok,,bd92b107232016ba,8eb5cc5f317bd848
2026-08-08 01:04:10+00:00,req-00005080,nightly_enrichment,gpt-5,1036,0,119,stop,ok,5d37f76a9d9f8fb7,bd92b107232016ba,3e85012ade5a8818
2026-08-08 01:04:15+00:00,req-00005286,nightly_enrichment,gpt-5,1548,0,166,stop,ok,,bd92b107232016ba,425cafe539fecc4b
2026-08-08 01:04:43+00:00,req-00004863,nightly_enrichment,gpt-5,932,0,136,stop,ok,,bd92b107232016ba,1b53746118f1a423
2026-08-08 01:04:45+00:00,req-00005170,nightly_enrichment,gpt-5,1298,0,188,stop,ok,,bd92b107232016ba,8d674b66ef97f9f1
2026-08-08 01:05:21+00:00,req-00005022,nightly_enrichment,gpt-5,1159,0,103,stop,ok,,bd92b107232016ba,60106a789a66983b
2026-08-08 01:05:45+00:00,req-00004645,nightly_enrichment,gpt-5,1428,0,272,stop,ok,,bd92b107232016ba,3b52159196c9cb12
2026-08-08 01:05:54+00:00,req-00005214,nightly_enrichment,gpt-5,1520,0,149,stop,ok,,bd92b107232016ba,c4cba8079e2d1fab
2026-08-08 01:06:03+00:00,req-00005140,nightly_enrichment,gpt-5,1082,0,161,stop,ok,,bd92b107232016ba,3112e767beee6fc8
2026-08-08 01:06:20+00:00,req-00005393,nightly_enrichment,gpt-5,1412,0,204,stop,ok,,bd92b107232016ba,acb54cc6390498bf
2026-08-08 01:06:29+00:00,req-00005095,nightly_enrichment,gpt-5,1115,0,304,stop,ok,,bd92b107232016ba,5355dc5e5b3b84e2
2026-08-08 01:06:34+00:00,req-00004731,nightly_enrichment,gpt-5,1140,0,157,stop,ok,,bd92b107232016ba,b2697f390ef5f548
2026-08-08 01:06:38+00:00,req-00005204,nightly_enrichment,gpt-5,1016,0,389,stop,ok,,bd92b107232016ba,16c9576227611de1
2026-08-08 01:06:40+00:00,req-00005178,nightly_enrichment,gpt-5,1075,0,133,stop,ok,,bd92b107232016ba,1c57a3c14a95fa9e
2026-08-08 01:06:42+00:00,req-00005085,nightly_enrichment,gpt-5,1198,0,148,stop,ok,,bd92b107232016ba,c8083636e018b006
2026-08-08 01:06:46+00:00,req-00004380,nightly_enrichment,gpt-5,2034,0,80,stop,ok,,bd92b107232016ba,76b5cb15d6064984
2026-08-08 01:07:01+00:00,req-00004527,nightly_enrichment,gpt-5,1047,0,364,stop,ok,,bd92b107232016ba,16686dca73ef0bc5
2026-08-08 01:07:07+00:00,req-00004710,nightly_enrichment,gpt-5,983,0,182,stop,ok,42286e703949dc10,bd92b107232016ba,35e5f5856f712827
2026-08-08 01:07:21+00:00,req-00004945,nightly_enrichment,gpt-5,1227,0,163,stop,ok,,bd92b107232016ba,ac249f2ceac16e6c
2026-08-08 01:07:22+00:00,req-00004672,nightly_enrichment,gpt-5,2587,0,258,stop,ok,,bd92b107232016ba,ccf83fc35e74b15c
2026-08-08 01:07:42+00:00,req-00004896,nightly_enrichment,gpt-5,1412,0,141,stop,ok,,bd92b107232016ba,5051dece4a9d6d6c
2026-08-08 01:07:44+00:00,req-00005332,nightly_enrichment,gpt-5,1338,0,102,stop,ok,,bd92b107232016ba,df536bf32c426666
2026-08-08 01:07:49+00:00,req-00005301,nightly_enrichment,gpt-5,1916,0,174,stop,ok,,bd92b107232016ba,46909c06c61e3c5a
2026-08-08 01:08:10+00:00,req-00005082,nightly_enrichment,gpt-5,1443,0,104,stop,ok,,bd92b107232016ba,f4d3fb928c0fac55
2026-08-08 01:08:47+00:00,req-00004562,nightly_enrichment,gpt-5,1426,0,271,stop,ok,,bd92b107232016ba,184cc197f4534167
2026-08-08 01:08:55+00:00,req-00005345,nightly_enrichment,gpt-5,1616,0,154,stop,ok,,bd92b107232016ba,b1784d42244fcb26
2026-08-08 01:09:02+00:00,req-00005147,nightly_enrichment,gpt-5,1570,0,179,stop,ok,,bd92b107232016ba,8d606f22dcd38a96
2026-08-08 01:09:04+00:00,req-00004700,nightly_enrichment,gpt-5,1242,0,188,stop,ok,,bd92b107232016ba,a01f164e72c2f85f
2026-08-08 01:09:14+00:00,req-00005296,nightly_enrichment,gpt-5,1347,0,166,stop,ok,,bd92b107232016ba,d2683e4ed81e11c9
2026-08-08 01:09:27+00:00,req-00005315,nightly_enrichment,gpt-5,1209,0,172,stop,ok,,bd92b107232016ba,1abc9f06c83304e2
2026-08-08 01:09:41+00:00,req-00004363,nightly_enrichment,gpt-5,1341,0,82,stop,ok,,bd92b107232016ba,5d284275409f44bb
2026-08-08 01:09:54+00:00,req-00005036,nightly_enrichment,gpt-5,1305,0,147,stop,ok,,bd92b107232016ba,2a334eee333bd6e1
2026-08-08 01:10:25+00:00,req-00004608,nightly_enrichment,gpt-5,1350,0,106,stop,ok,,bd92b107232016ba,323856bb832eb2bb
2026-08-08 01:10:33+00:00,req-00004690,nightly_enrichment,gpt-5,1660,0,155,stop,ok,,bd92b107232016ba,528d9de45ff9876e
2026-08-08 01:10:35+00:00,req-00005156,nightly_enrichment,gpt-5,1536,0,132,stop,ok,,bd92b107232016ba,266aa40daef3fbd8
2026-08-08 01:10:37+00:00,req-00005047,nightly_enrichment,gpt-5,1467,0,263,stop,ok,,bd92b107232016ba,a4e8b77754419bc3
2026-08-08 01:10:43+00:00,req-00004698,nightly_enrichment,gpt-5,1270,0,159,stop,ok,,bd92b107232016ba,4f60cf6595156849
2026-08-08 01:11:04+00:00,req-00004406,nightly_enrichment,gpt-5,1295,0,164,stop,ok,,bd92b107232016ba,f9f4e285a1f9dd94
2026-08-08 01:11:40+00:00,req-00004893,nightly_enrichment,gpt-5,1063,0,183,stop,ok,,bd92b107232016ba,5cfb6960775538f4
2026-08-08 01:11:52+00:00,req-00004759,nightly_enrichment,gpt-5,1117,0,136,stop,ok,,bd92b107232016ba,5270afded626cd56
2026-08-08 01:12:13+00:00,req-00004864,nightly_enrichment,gpt-5,1594,0,258,stop,ok,b957c8de68d4e972,bd92b107232016ba,d654ea5892c08b82
2026-08-08 01:12:17+00:00,req-00004642,nightly_enrichment,gpt-5,1258,0,189,stop,ok,,bd92b107232016ba,29a42613fe5ce331
2026-08-08 01:12:46+00:00,req-00004427,nightly_enrichment,gpt-5,1658,0,101,stop,ok,,bd92b107232016ba,b6cab908fd362c83
2026-08-08 01:12:59+00:00,req-00004816,nightly_enrichment,gpt-5,2168,0,161,stop,ok,,bd92b107232016ba,6b42078bd222de95
2026-08-08 01:13:01+00:00,req-00004561,nightly_enrichment,gpt-5,1686,0,106,stop,ok,0c5c1713ff24ea2e,bd92b107232016ba,2c01c988ae05d56c
2026-08-08 01:13:02+00:00,req-00005252,nightly_enrichment,gpt-5,965,0,81,stop,ok,,bd92b107232016ba,df5f2d142349e2d2
2026-08-08 01:13:12+00:00,req-00005359,nightly_enrichment,gpt-5,1299,0,162,stop,ok,,bd92b107232016ba,16f8b4c44ccba9aa
2026-08-08 01:13:19+00:00,req-00004632,nightly_enrichment,gpt-5,1047,0,175,stop,ok,,bd92b107232016ba,0f38a7584ffd798b
2026-08-08 01:13:35+00:00,req-00004745,nightly_enrichment,gpt-5,1331,0,178,stop,ok,,bd92b107232016ba,b40f7590bd290011
2026-08-08 01:14:01+00:00,req-00005157,nightly_enrichment,gpt-5,1582,0,88,stop,ok,,bd92b107232016ba,1c45874fe448765e
2026-08-08 01:14:04+00:00,req-00004630,nightly_enrichment,gpt-5,1674,0,232,stop,ok,,bd92b107232016ba,3b9089724a5da66a
2026-08-08 01:14:08+00:00,req-00004915,nightly_enrichment,gpt-5,1326,0,124,stop,ok,d9dfc84e35cf26c4,bd92b107232016ba,92a93dde15ec8a66
2026-08-08 01:14:13+00:00,req-00004789,nightly_enrichment,gpt-5,1824,0,89,stop,ok,,bd92b107232016ba,8f1b3ad04f7c316d
2026-08-08 01:14:22+00:00,req-00004659,nightly_enrichment,gpt-5,1109,0,203,stop,ok,,bd92b107232016ba,e5c5cd3bfd1a718a
2026-08-08 01:14:39+00:00,req-00005123,nightly_enrichment,gpt-5,1029,0,179,stop,ok,,bd92b107232016ba,a7c27ba59cb3151f
2026-08-08 01:14:46+00:00,req-00004452,nightly_enrichment,gpt-5,1592,0,137,stop,ok,f9de50a73ae77578,bd92b107232016ba,cee1ddb25b10c8a8
2026-08-08 01:16:15+00:00,req-00004367,nightly_enrichment,gpt-5,1355,0,168,stop,ok,,bd92b107232016ba,4dff47b4ec9259f1
2026-08-08 01:16:40+00:00,req-00004766,nightly_enrichment,gpt-5,1385,0,100,stop,ok,,bd92b107232016ba,65544beca347bc96
2026-08-08 01:17:00+00:00,req-00005317,nightly_enrichment,gpt-5,1277,0,146,stop,ok,,bd92b107232016ba,bf046cf306f5ecef
2026-08-08 01:17:08+00:00,req-00004666,nightly_enrichment,gpt-5,2246,0,246,stop,ok,,bd92b107232016ba,a5f64fadda937ce0
2026-08-08 01:17:37+00:00,req-00004533,nightly_enrichment,gpt-5,1189,0,105,stop,ok,,bd92b107232016ba,fedb115c208add2d
2026-08-08 01:17:44+00:00,req-00004388,nightly_enrichment,gpt-5,1485,0,167,stop,ok,,bd92b107232016ba,90738661feef6562
2026-08-08 01:17:45+00:00,req-00004532,nightly_enrichment,gpt-5,1865,0,117,stop,ok,,bd92b107232016ba,da82fffe68787e14
2026-08-08 01:17:53+00:00,req-00004365,nightly_enrichment,gpt-5,1164,0,98,stop,ok,,bd92b107232016ba,dca5b3d230ee355d
